,column1,column2
0.06508675963187571,0.414712112591734,0.30948361836777083
0.5032844242501121,0.39431465657071263,0.4789067398446847
0.07737775123759827,0.7021830858103896,0.9200985277508593
0.7387275733634734,0.1947191478565684,0.5894521012283497
0.30621921280394393,0.5792542031316759,0.0907203438027061
0.2862267470350168,0.052324626042387856,0.7419290268831986
0.4875989747366556,0.1296920891147363,0.10390573489364385
0.6096975344871551,0.8385380683747808,0.29075570001540596
0.6301881334213859,0.5335713496851512,0.8717246447419162
0.5013895978316142,0.5034494285210228,0.7384018794646485
